 ,Area,Angle,MinThr,MaxThr,Length
268,3.034,-92.261,0,255,15.099
269,2.128,-7.524,0,255,10.612
270,0.867,148.570,0,255,4.188
271,1.419,-45.000,0,255,7.018
272,1.143,-42.138,0,255,5.622
273,0.985,-41.634,0,255,4.781
274,1.655,-48.945,0,255,8.161
275,1.773,-45.000,0,255,8.703
276,2.246,-30.256,0,255,11.031
277,2.207,-56.023,0,255,11.012
278,3.231,9.926,0,255,16.122
279,0.433,-36.870,0,255,1.985
280,0.552,4.399,0,255,2.588
281,1.261,-58.392,0,255,6.060
282,1.458,-80.538,0,255,7.245
283,1.064,-59.421,0,255,5.073
284,1.616,-73.856,0,255,7.853
285,1.182,-63.435,0,255,5.770
286,1.852,-81.158,0,255,9.040
287,0.867,-131.186,0,255,4.220
288,0.709,-72.646,0,255,3.328
289,1.340,-70.463,0,255,6.530
290,0.828,8.531,0,255,4.015
291,1.419,0.000,0,255,6.948
292,0.552,-98.746,0,255,2.611
293,0.946,-37.875,0,255,4.527
294,0.867,-100.784,0,255,4.244
295,0.709,13.241,0,255,3.467
296,2.364,148.201,0,255,11.678
297,1.537,103.671,0,255,7.559
298,1.970,-23.962,0,255,9.776
299,0.906,161.565,0,255,4.394
300,0.985,117.646,0,255,4.706
301,1.694,99.689,0,255,8.257
302,1.103,135.000,0,255,5.334
303,1.222,-28.301,0,255,5.862
304,0.946,133.264,0,255,4.634
